169			
1	673	6902	290
2	676	293	6902
3	685	298	6909
4	686	6909	293
5	7605	290	10584
6	7606	10584	2255
7	7609	10589	2257
8	7612	2255	10589
9	7621	2257	10594
10	7622	10594	2261
11	7625	10599	2263
12	7628	2261	10599
13	7637	2263	10604
14	7638	10604	2267
15	7641	10609	2269
16	7644	2267	10609
17	7653	2269	10614
18	7654	10614	2273
19	7657	10619	2275
20	7660	2273	10619
21	2253	725	7718
22	2254	7718	726
23	2257	7724	729
24	2260	726	7724
25	2333	770	7778
26	2334	7778	771
27	2337	7784	774
28	2340	771	7784
29	2381	794	7812
30	2382	7812	795
31	2385	7818	798
32	2388	795	7818
33	2397	7827	803
34	2400	806	7827
35	2409	811	7834
36	2410	7834	806
37	2465	842	7876
38	2466	7876	843
39	2469	7881	844
40	2472	843	7881
41	2685	947	8034
42	2686	8034	948
43	2689	8040	951
44	2692	948	8040
45	2705	958	8050
46	2706	8050	959
47	2709	8055	960
48	2712	959	8055
49	2933	1041	8203
50	2934	8203	1042
51	2937	8207	1043
52	2940	1042	8207
53	2973	8233	1057
54	2976	1060	8233
55	2985	1062	8238
56	2986	8238	1060
57	3181	1139	8370
58	3182	8370	1140
59	3185	8376	1143
60	3188	1140	8376
61	3245	1145	8418
62	3246	8418	1173
63	3249	8423	1175
64	3252	1173	8423
65	3285	1190	8445
66	3286	8445	1191
67	3289	8449	1192
68	3292	1191	8449
69	3453	1229	8534
70	3454	8534	1230
71	3457	8540	1233
72	3460	1230	8540
73	3477	774	8552
74	3478	8552	1240
75	3481	8555	1241
76	3484	1240	8555
77	3709	1286	8664
78	3710	8664	1287
79	3713	8670	1290
80	3716	1287	8670
81	3837	8728	1190
82	3840	1317	8728
83	3849	1320	8734
84	3850	8734	1317
85	4093	8863	1378
86	4096	1381	8863
87	4105	1383	8868
88	4106	8868	1381
89	4197	1233	8917
90	4198	8917	1408
91	4201	8919	1041
92	4204	1408	8919
93	4205	1409	8920
94	4205	8923	1409
95	4206	8920	1410
96	4208	1412	8923
97	4209	8925	1229
98	4212	1410	8925
99	4217	1414	8928
100	4218	8928	1412
101	4269	8949	1421
102	4272	1424	8949
103	4281	844	8953
104	4282	8953	1424
105	4425	960	9003
106	4426	9003	1444
107	4429	9007	811
108	4432	1444	9007
109	4573	989	9063
110	4574	9063	1470
111	4577	9065	1062
112	4580	1470	9065
113	4605	9074	725
114	4608	1474	9074
115	4613	803	9076
116	4614	9076	1474
117	4789	9131	842
118	4797	9134	1286
119	4800	1497	9134
120	4805	1175	9136
121	4806	9136	1497
122	4809	1290	9137
123	4810	9137	1498
124	4813	9141	958
125	4816	1498	9141
126	4821	9144	1145
127	4824	1501	9144
128	4825	1143	9145
129	4826	9145	1502
130	4829	1503	9147
131	4829	9148	1503
132	4830	9147	1501
133	4832	1502	9148
134	4873	729	9165
135	4874	9165	1511
136	4877	9168	1512
137	4880	1511	9168
138	4881	9171	989
139	4884	1514	9171
140	4889	1512	9173
141	4890	9173	1514
142	4969	1421	9202
143	4970	9202	1527
144	4973	9204	1139
145	4976	1527	9204
146	5061	9240	947
147	5064	1543	9240
148	5069	798	9242
149	5070	9242	1543
150	5073	1241	9243
151	5074	9243	1544
152	5077	9247	1383
153	5080	1544	9247
154	5113	1043	9260
155	5114	9260	1551
156	5117	9262	770
157	5120	1551	9262
158	5121	9265	794
159	5124	1553	9265
160	5129	1057	9267
161	5130	9267	1553
162	5181	1192	9286
163	5182	9286	1561
164	5185	9290	1414
165	5188	1561	9290
166	5193	9293	1320
167	5196	1564	9293
168	5201	951	9295
169	5202	9295	1564
